Order ID,Order Date,Customer ID,Product ID,Product Name,Product Type,Quantity,Customer Name,Email,Country,Category,Unit Price,Profit,,
FYQ-78248-319,07-Jun-2022,25473-43727-BY,E-D-0.5,"TCL C845 65""",TV,3,Llywellyn Oscroft,loscroftf@ebay.co.uk,United States,TV,900.00 €,900.00 €,,
VAU-44387-624,20-Mar-2019,99643-51048-IQ,A-M-1,OnePlus 12,Smartphone,2,Minni Alabaster,malabasterg@hexun.com,United States,Smartphone,949.00 €,638.00 €,,
RDW-33155-159,19-Oct-2019,62173-15287-CU,F-D-0.2,Nikon Z5,Camera,2,Rhianon Broxup,rbroxuph@jimdo.com,United States,Camera,"1,100.00 €",760.00 €,,
TDZ-59011-211,13-Jun-2019,57611-05522-ST,C-M-1,SteelSeries Aerox 9 Wireless,Mouse,1,Pall Redford,predfordi@ow.ly,Ireland,Mouse,180.00 €,60.00 €,,
IDU-25793-399,04-Dec-2020,76664-37050-DT,R-L-0.5,Dell XPS 13 Plus,Laptop,1,Aurea Corradino,acorradinoj@harvard.edu,United States,Laptop,"1,599.00 €",399.00 €,,
IDU-25793-399,04-Dec-2020,76664-37050-DT,L-D-0.2,Apple AirPods Pro 2,Headphones,3,Aurea Corradino,acorradinoj@harvard.edu,United States,Headphones,180.00 €,0.00 €,,
NUO-20013-488,04-Dec-2020,03090-88267-BQ,A-D-1,Oppo Reno10 5G,Smartphone,1,Avrit Davidowsky,adavidowskyl@netvibes.com,United States,Smartphone,450.00 €,150.00 €,,
UQU-65630-479,22-Jan-2021,37651-47492-NC,H-L-2.5,Blue Yeti X Microphone,Gaming Accessory,2,Annabel Antuk,aantukm@kickstarter.com,United States,Gaming Accessory,150.00 €,100.00 €,,
FEO-11834-332,11-Feb-2022,95399-57205-HI,E-L-0.2,Beats Studio Pro,Headphones,2,Iorgo Kleinert,ikleinertn@timesonline.co.uk,United States,Headphones,350.00 €,240.00 €,,
TKY-71558-096,15-Sep-2021,24010-66714-HW,G-L-0.2,GoPro Hero 12,Action Camera,3,Chrisy Blofeld,cblofeldo@amazon.co.uk,United States,Action Camera,400.00 €,420.00 €,,
OXY-65322-253,24-Oct-2020,07591-92789-UA,A-L-2.5,Samsung Galaxy S24,Smartphone,2,Culley Farris,,United States,Smartphone,909.00 €,578.00 €,,
EVP-43500-491,20-Feb-2019,49231-44455-IC,F-L-1,Seagate Expansion 2TB,External Drive,3,Selene Shales,sshalesq@umich.edu,United States,External Drive,75.00 €,90.00 €,,
WAG-26945-689,08-Oct-2019,50124-88608-EO,R-D-0.5,Huawei MateBook D16,Laptop,1,Vivie Danneil,vdanneilr@mtv.com,Ireland,Laptop,699.00 €,234.00 €,,
CHE-78995-767,02-Aug-2022,00888-74814-UZ,L-M-1,Acer Predator Orion 3000,PC,1,Theresita Newbury,tnewburys@usda.gov,Ireland,PC,"1,799.00 €",599.00 €,,
RYZ-14633-602,20-Feb-2019,14158-30713-OB,E-M-0.2,Logitech G Pro X,Headphones,2,Mozelle Calcutt,mcalcuttt@baidu.com,Ireland,Headphones,130.00 €,90.00 €,,
WOQ-36015-429,25-Sep-2021,51427-89175-QJ,A-M-0.5,Google Pixel 8,Smartphone,3,Adrian Swaine,,United States,Smartphone,759.00 €,777.00 €,,
WOQ-36015-429,25-Sep-2021,51427-89175-QJ,B-D-1,Amazfit GTR 4,Wearable,2,Adrian Swaine,,United States,Wearable,180.00 €,120.00 €,,
WOQ-36015-429,25-Sep-2021,51427-89175-QJ,H-L-2.5,Blue Yeti X Microphone,Gaming Accessory,1,Adrian Swaine,,United States,Gaming Accessory,150.00 €,50.00 €,,
SCT-60553-454,17-Jul-2021,39123-12846-YJ,R-L-2.5,Lenovo ThinkPad X1 Carbon,Laptop,2,Gallard Gatheral,ggatheralx@123-reg.co.uk,United States,Laptop,"1,899.00 €","1,138.00 €",,
GFK-52063-244,29-Jun-2020,44981-99666-XB,C-L-0.5,Anker Soundcore Motion X600,Bluetooth Speaker,2,Una Welberry,uwelberryy@ebay.co.uk,United Kingdom,Bluetooth Speaker,200.00 €,140.00 €,,
AMM-79521-378,01-Jun-2021,24825-51803-CQ,A-L-0.5,iPhone 15,Smartphone,1,Faber Eilhart,feilhartz@who.int,United States,Smartphone,899.00 €,319.00 €,,
QUQ-90580-772,06-Feb-2021,77634-13918-GJ,L-L-0.2,Dell UltraSharp U2723QE,Monitor,3,Zorina Ponting,zponting10@altervista.org,United States,Monitor,679.00 €,687.00 €,,
LGD-24408-274,25-Apr-2019,13694-25001-LX,G-D-0.5,Valve Steam Deck,Gaming Console,3,Silvio Strase,sstrase11@booking.com,United States,Gaming Console,419.00 €,417.00 €,,
HCT-95608-959,25-Apr-2020,08523-01791-TI,E-L-2.5,Razer BlackShark V2,Headphones,2,Dorie de la Tremoille,dde12@unesco.org,United States,Headphones,80.00 €,60.00 €,,
OFX-99147-470,24-Nov-2021,49860-68865-AB,R-M-0.2,ASUS ROG Zephyrus G16,Laptop,2,Hy Zanetto,,United States,Laptop,"2,499.00 €",998.00 €,,
LUO-37559-016,19-Apr-2021,21240-83132-SP,F-M-0.2,Samsung T7 Portable SSD,External Drive,2,Jessica McNess,,United States,External Drive,100.00 €,80.00 €,,
XWC-20610-167,07-Jul-2022,08350-81623-TF,H-M-0.5,HyperX Cloud III,Gaming Accessory,3,Lorenzo Yeoland,lyeoland15@pbs.org,United States,Gaming Accessory,80.00 €,90.00 €,,
GPU-79113-136,22-May-2019,73284-01385-SJ,A-M-1,OnePlus 12,Smartphone,3,Abigail Tolworthy,atolworthy16@toplist.cz,United States,Smartphone,949.00 €,957.00 €,,
ULR-52653-960,04-Oct-2021,04152-34436-IE,E-D-2.5,"Xiaomi Mi TV Q2 50""",TV,3,Maurie Bartol,,United States,TV,500.00 €,510.00 €,,
HPI-42308-142,11-Apr-2020,06631-86965-XP,B-M-2.5,Fitbit Charge 7,Wearable,3,Olag Baudassi,obaudassi18@seesaa.net,United States,Wearable,150.00 €,150.00 €,,
XHI-30227-581,31-Jan-2022,54619-08558-ZU,L-D-1,Bose QuietComfort Ultra,Headphones,3,Petey Kingsbury,pkingsbury19@comcast.net,United States,Headphones,449.00 €,447.00 €,,
DJH-05202-380,07-Nov-2019,85589-17020-CX,F-M-0.5,SanDisk Extreme Pro SSD,External Drive,1,Donna Baskeyfied,,United States,External Drive,110.00 €,45.00 €,,
VMW-26889-781,28-Jun-2019,36078-91009-WU,A-D-0.2,Xiaomi Poco 3,Smartphone,1,Arda Curley,acurley1b@hao123.com,United States,Smartphone,130.00 €,40.00 €,,
DBU-81099-586,11-Sep-2020,15770-27099-GX,R-L-1,HP Spectre x360,Laptop,1,Raynor McGilvary,rmcgilvary1c@tamu.edu,United States,Laptop,"1,699.00 €",509.00 €,,
PQA-54820-810,17-Aug-2022,91460-04823-BX,C-M-0.5,Razer Basilisk V3 Pro,Mouse,3,Isis Pikett,ipikett1d@xinhuanet.com,United States,Mouse,160.00 €,165.00 €,,
XKB-41924-202,19-Aug-2022,45089-52817-WN,E-M-2.5,Samsung QN90D Neo QLED,TV,1,Inger Bouldon,ibouldon1e@gizmodo.com,United States,TV,"1,400.00 €",480.00 €,,
DWZ-69106-473,15-May-2019,76447-50326-IC,B-L-1,Skyworth Q70 4K,TV,1,Karry Flanders,kflanders1f@over-blog.com,Ireland,TV,350.00 €,120.00 €,,
YHV-68700-050,11-Sep-2019,26333-67911-OL,L-L-0.5,ASUS TUF Gaming VG27AQ,Monitor,2,Hartley Mattioli,hmattioli1g@webmd.com,United Kingdom,Monitor,349.00 €,238.00 €,,
YHV-68700-050,11-Sep-2019,26333-67911-OL,H-D-1,Elgato Stream Deck XL,Gaming Accessory,2,Hartley Mattioli,hmattioli1g@webmd.com,United Kingdom,Gaming Accessory,220.00 €,150.00 €,,
KRB-88066-642,16-Mar-2021,22107-86640-SB,G-M-1,Sony PlayStation 5,Gaming Console,2,Archambault Gillard,agillard1i@issuu.com,United States,Gaming Console,550.00 €,340.00 €,,
LQU-08404-173,03-Dec-2020,09960-34242-LZ,A-L-2.5,Samsung Galaxy S24,Smartphone,2,Salomo Cushworth,,United States,Smartphone,909.00 €,578.00 €,,
CWK-60159-881,27-Jan-2020,04671-85591-RT,E-L-1,Sennheiser Momentum 4,Headphones,2,Theda Grizard,tgrizard1k@odnoklassniki.ru,United States,Headphones,350.00 €,240.00 €,,
EEG-74197-843,17-Jul-2022,25729-68859-UA,R-D-1,LG UltraGear 27GN950,Monitor,1,Rozele Relton,rrelton1l@stanford.edu,United States,Monitor,700.00 €,165.00 €,,
UCZ-59708-525,04-Mar-2022,05501-86351-NX,C-D-2.5,Keychron K6 Wireless,Keyboard,1,Willa Rolling,,United States,Keyboard,85.00 €,30.00 €,,
HUB-47311-849,07-Dec-2021,04521-04300-OK,B-D-0.5,Huawei Watch GT4,Wearable,3,Stanislaus Gilroy,sgilroy1n@eepurl.com,United States,Wearable,200.00 €,210.00 €,,
WYM-17686-694,25-Feb-2021,58689-55264-VK,A-M-0.2,Xiaomi Redmi Note 13,Smartphone,2,Correy Cottingham,ccottingham1o@wikipedia.org,United States,Smartphone,270.00 €,190.00 €,,
ZYQ-15797-695,25-Feb-2019,79436-73011-MM,F-D-1,Fujifilm X-S20,Camera,2,Pammi Endacott,,United Kingdom,Camera,"1,300.00 €",900.00 €,,
EEJ-16185-108,09-Feb-2019,65552-60476-KY,L-M-2.5,Apple iMac 24 M3,PC,1,Nona Linklater,,United States,PC,"1,499.00 €",499.00 €,,
RWR-77888-800,07-Feb-2020,69904-02729-YS,H-L-2.5,Blue Yeti X Microphone,Gaming Accessory,3,Annadiane Dykes,adykes1r@eventbrite.com,United States,Gaming Accessory,150.00 €,150.00 €,,
LHN-75209-742,23-Mar-2020,01433-04270-AX,G-L-1,Insta360 X3,Action Camera,3,Felecia Dodgson,,United States,Action Camera,430.00 €,450.00 €,,
TIR-71396-998,06-Mar-2022,14204-14186-LA,R-M-2.5,MSI Modern 14,Laptop,2,Angelia Cockrem,acockrem1t@engadget.com,United States,Laptop,749.00 €,498.00 €,,
RXF-37618-213,15-Apr-2022,32948-34398-HC,E-D-1,Philips Ambilight 55PUS8908,TV,3,Belvia Umpleby,bumpleby1u@soundcloud.com,United States,TV,700.00 €,720.00 €,,
ANM-16388-634,19-Nov-2021,77343-52608-FF,A-D-0.5,Realme 12 Pro,Smartphone,3,Nat Saleway,nsaleway1v@dedecms.com,United States,Smartphone,350.00 €,360.00 €,,
WYL-29300-070,16-Oct-2019,42770-36274-QA,F-L-2.5,WD My Passport 4TB,External Drive,3,Hayward Goulter,hgoulter1w@abc.net.au,United States,External Drive,120.00 €,135.00 €,,
JHW-74554-805,26-Nov-2019,14103-58987-ZU,L-L-1,AOC 24G2SPU,Monitor,2,Gay Rizzello,grizzello1x@symantec.com,United Kingdom,Monitor,189.00 €,128.00 €,,
KYS-27063-603,30-Jun-2019,69958-32065-SW,H-D-1,Elgato Stream Deck XL,Gaming Accessory,2,Shannon List,slist1y@mapquest.com,United States,Gaming Accessory,220.00 €,150.00 €,,
GAZ-58626-277,04-Jan-2021,69533-84907-FA,C-M-2.5,HP 930 Creator Mouse,Mouse,3,Shirlene Edmondson,sedmondson1z@theguardian.com,Ireland,Mouse,60.00 €,66.00 €,,
RPJ-37787-335,27-Oct-2020,76005-95461-CI,B-M-1,Xiaomi Smart Band 9,Wearable,1,Aurlie McCarl,,United States,Wearable,50.00 €,20.00 €,,
LEF-83057-763,15-Jun-2021,15395-90855-VB,A-L-0.2,Samsung Galaxy A55,Smartphone,3,Alikee Carryer,,United States,Smartphone,480.00 €,540.00 €,,
RPW-36123-215,19-Jul-2021,80640-45811-LB,G-M-2.5,Microsoft Xbox Series X,Gaming Console,2,Jennifer Rangall,jrangall22@newsvine.com,United States,Gaming Console,550.00 €,340.00 €,,
WLL-59044-117,23-Jul-2021,28476-04082-GR,R-D-0.2,Samsung Galaxy Book4 Pro,Laptop,1,Kipper Boorn,kboorn23@ezinearticles.com,Ireland,Laptop,"1,699.00 €",509.00 €,,
AWT-22827-563,25-Jan-2020,12018-75670-EU,E-M-0.5,Nothing Ear 2,Headphones,2,Melania Beadle,,Ireland,Headphones,150.00 €,100.00 €,,
QLM-07145-668,09-May-2019,86437-17399-FK,L-M-1,Acer Predator Orion 3000,PC,3,Colene Elgey,celgey25@webs.com,United States,PC,"1,799.00 €","1,797.00 €",,
HVQ-64398-930,30-Mar-2020,62979-53167-ML,F-M-1,Crucial X10 Pro SSD,External Drive,2,Lothaire Mizzi,lmizzi26@rakuten.co.jp,United States,External Drive,95.00 €,80.00 €,,
WRT-40778-247,13-Mar-2022,54810-81899-HL,A-D-2.5,Honor Magic6 Lite,Smartphone,1,Cletis Giacomazzo,cgiacomazzo27@jigsy.com,United States,Smartphone,330.00 €,110.00 €,,
SUB-13006-125,17-Apr-2019,26103-41504-IB,H-M-0.5,HyperX Cloud III,Gaming Accessory,1,Ami Arnow,aarnow28@arizona.edu,United States,Gaming Accessory,80.00 €,30.00 €,,
CQM-49696-263,25-Oct-2019,76534-45229-SG,C-D-0.2,Corsair M75 Air,Mouse,1,Sheppard Yann,syann29@senate.gov,United States,Mouse,80.00 €,30.00 €,,
KXN-85094-246,13-Sep-2019,81744-27332-RR,B-L-0.2,"Panasonic LZ2000 65""",TV,3,Bunny Naulls,bnaulls2a@tiny.cc,Ireland,TV,"1,800.00 €","1,800.00 €",,
XOQ-12405-419,12-Apr-2020,91513-75657-PH,R-M-1,Microsoft Surface Laptop 6,Laptop,2,Hally Lorait,,United States,Laptop,"1,399.00 €",838.00 €,,
HYF-10254-369,14-Nov-2019,30373-66619-CB,E-D-0.2,Sony Bravia XR A80L,TV,3,Zaccaria Sherewood,zsherewood2c@apache.org,United States,TV,"1,600.00 €","1,650.00 €",,
XXJ-47000-307,18-Jul-2019,31582-23562-FM,L-L-2.5,HP Envy 32 All-in-One,PC,1,Jeffrey Dufaire,jdufaire2d@fc2.com,United States,PC,"1,999.00 €",599.00 €,,
XXJ-47000-307,18-Jul-2019,31582-23562-FM,A-L-0.5,iPhone 15,Smartphone,3,Jeffrey Dufaire,jdufaire2d@fc2.com,United States,Smartphone,899.00 €,957.00 €,,
ZDK-82166-357,03-Apr-2021,81431-12577-VD,G-D-2.5,Logitech G29 Racing Wheel,Gaming Accessory,1,Beitris Keaveney,bkeaveney2f@netlog.com,United States,Gaming Accessory,250.00 €,90.00 €,,
IHN-19982-362,29-Mar-2021,68894-91205-MP,F-M-2.5,Canon EOS R50,Camera,1,Elna Grise,egrise2g@cargocollective.com,United States,Camera,700.00 €,240.00 €,,
VMT-10030-889,15-Dec-2021,87602-55754-VN,H-L-0.2,Razer Kraken V4,Gaming Accessory,1,Torie Gottelier,tgottelier2h@vistaprint.com,United States,Gaming Accessory,70.00 €,25.00 €,,
NHL-11063-100,20-May-2020,39181-35745-WH,B-D-2.5,JBL Go 4,Bluetooth Speaker,1,Loydie Langlais,,Ireland,Bluetooth Speaker,45.00 €,17.00 €,,
ROV-87448-086,02-Nov-2020,30381-64762-NG,C-L-1,Marshall Emberton II,Bluetooth Speaker,3,Adham Greenhead,agreenhead2j@dailymail.co.uk,United States,Bluetooth Speaker,160.00 €,165.00 €,,
DGY-35773-612,25-Jul-2020,17503-27693-ZH,E-L-0.5,Samsung Galaxy Buds3 Pro,Headphones,1,Hamish MacSherry,,United States,Headphones,230.00 €,80.00 €,,
YWH-50638-556,14-Mar-2019,89442-35633-HJ,A-M-0.5,Google Pixel 8,Smartphone,1,Else Langcaster,elangcaster2l@spotify.com,United Kingdom,Smartphone,759.00 €,259.00 €,,
ISL-11200-600,02-Jul-2020,13654-85265-IL,R-L-0.2,Apple MacBook Air M3,Laptop,2,Rudy Farquharson,,Ireland,Laptop,"1,299.00 €",798.00 €,,
LBZ-75997-047,17-Dec-2019,40946-22090-FP,L-D-2.5,JBL Tune 770NC,Headphones,3,Norene Magauran,nmagauran2n@51.la,United States,Headphones,100.00 €,105.00 €,,
EUH-08089-954,06-Dec-2020,29050-93691-TS,G-M-0.5,Ryze Tello EDU,Drone,2,Vicki Kirdsch,vkirdsch2o@google.fr,United States,Drone,120.00 €,90.00 €,,
BLD-12227-251,04-Mar-2021,64395-74865-WF,F-D-0.5,Sony Alpha A7 IV,Camera,3,Ilysa Whapple,iwhapple2p@com.com,United States,Camera,"2,500.00 €","2,550.00 €",,
OPY-30711-853,17-Jul-2021,81861-66046-SU,B-M-0.2,Apple Watch Series 10,Wearable,2,Ruy Cancellieri,,Ireland,Wearable,450.00 €,300.00 €,,
DBC-44122-300,04-Nov-2020,13366-78506-KP,H-D-1,Elgato Stream Deck XL,Gaming Accessory,3,Aube Follett,,United States,Gaming Accessory,220.00 €,225.00 €,,
FJQ-60035-234,05-Apr-2021,08847-29858-HN,E-M-1,"LG OLED C4 55""",TV,3,Rudiger Di Bartolomeo,,United States,TV,"1,500.00 €","1,500.00 €",,
HSF-66926-425,01-Mar-2020,00539-42510-RY,C-M-0.2,Logitech MX Master 4,Mouse,1,Nickey Youles,nyoules2t@reference.com,Ireland,Mouse,130.00 €,45.00 €,,
LQG-41416-375,19-Oct-2021,45190-08727-NV,A-D-1,Oppo Reno10 5G,Smartphone,2,Dyanna Aizikovitz,daizikovitz2u@answers.com,Ireland,Smartphone,450.00 €,300.00 €,,
VZO-97265-841,08-Jul-2022,87049-37901-FU,R-L-1,HP Spectre x360,Laptop,2,Bram Revel,brevel2v@fastcompany.com,United States,Laptop,"1,699.00 €","1,018.00 €",,
MOR-12987-399,17-Aug-2019,34015-31593-JC,L-M-0.2,Lenovo Legion Tower 5i,PC,2,Emiline Priddis,epriddis2w@nationalgeographic.com,United States,PC,"1,300.00 €",700.00 €,,
UOA-23786-489,31-May-2020,90305-50099-SV,F-L-0.2,Razer BlackWidow V4,Keyboard,1,Queenie Veel,qveel2x@jugem.jp,United States,Keyboard,200.00 €,70.00 €,,
AJL-52941-018,05-May-2020,55871-61935-MF,G-L-2.5,DJI Mini 4 Pro,Drone,1,Lind Conyers,lconyers2y@twitter.com,United States,Drone,759.00 €,259.00 €,,
XSZ-84273-421,14-Apr-2019,15405-60469-TM,E-L-1,Sennheiser Momentum 4,Headphones,1,Pen Wye,pwye2z@dagondesign.com,United States,Headphones,350.00 €,120.00 €,,
NUN-48214-216,29-Jul-2020,06953-94794-FB,H-M-0.5,HyperX Cloud III,Gaming Accessory,1,Isahella Hagland,,United States,Gaming Accessory,80.00 €,30.00 €,,
AKV-93064-769,12-Dec-2019,22305-40299-CY,B-L-0.5,"Hisense U8KQ 55""",TV,1,Terry Sheryn,tsheryn31@mtv.com,United States,TV,800.00 €,270.00 €,,
BRB-40903-533,15-Jun-2022,09020-56774-GU,A-L-1,Apple iPhone 15 Pro,Smartphone,2,Marie-jeanne Redgrave,mredgrave32@cargocollective.com,United States,Smartphone,"1,229.00 €",858.00 €,,
GPR-19973-483,26-Jun-2019,92926-08470-YS,R-D-1,LG UltraGear 27GN950,Monitor,1,Betty Fominov,bfominov33@yale.edu,United States,Monitor,700.00 €,165.00 €,,
XIY-43041-882,12-Oct-2021,07250-63194-JO,L-L-0.5,ASUS TUF Gaming VG27AQ,Monitor,2,Shawnee Critchlow,scritchlow34@un.org,United States,Monitor,349.00 €,238.00 €,,
YGY-98425-969,01-Apr-2019,63787-96257-TQ,F-M-1,Crucial X10 Pro SSD,External Drive,3,Merrel Steptow,msteptow35@earthlink.net,Ireland,External Drive,95.00 €,120.00 €,,
MSB-08397-648,10-Mar-2021,49530-25460-RW,C-L-0.2,Sony SRS-XB23,Bluetooth Speaker,3,Carmina Hubbuck,,United States,Bluetooth Speaker,80.00 €,90.00 €,,
WDR-06028-345,16-Aug-2019,66508-21373-OQ,G-M-2.5,Microsoft Xbox Series X,Gaming Console,1,Ingeberg Mulliner,imulliner37@pinterest.com,United Kingdom,Gaming Console,550.00 €,170.00 €,,
MXM-42948-061,11-Aug-2020,20203-03950-FY,E-D-0.2,Sony Bravia XR A80L,TV,1,Geneva Standley,gstandley38@dion.ne.jp,Ireland,TV,"1,600.00 €",550.00 €,,
MGQ-98961-173,05-Apr-2022,83895-90735-XH,B-D-0.2,Garmin Forerunner 265,Wearable,2,Brook Drage,bdrage39@youku.com,United States,Wearable,400.00 €,280.00 €,,
RFH-64349-897,22-Oct-2019,61954-61462-RJ,A-M-2.5,Huawei P60 Pro,Smartphone,3,Muffin Yallop,myallop3a@fema.gov,United States,Smartphone,"1,000.00 €","1,050.00 €",,
TKL-20738-660,02-Oct-2021,47939-53158-LS,H-D-1,Elgato Stream Deck XL,Gaming Accessory,2,Cordi Switsur,cswitsur3b@chronoengine.com,United States,Gaming Accessory,220.00 €,150.00 €,,
TKL-20738-660,02-Oct-2021,47939-53158-LS,L-M-1,Acer Predator Orion 3000,PC,2,Cordi Switsur,cswitsur3b@chronoengine.com,United States,PC,"1,799.00 €","1,198.00 €",,
TKL-20738-660,02-Oct-2021,47939-53158-LS,R-M-0.2,ASUS ROG Zephyrus G16,Laptop,1,Cordi Switsur,cswitsur3b@chronoengine.com,United States,Laptop,"2,499.00 €",499.00 €,,
GOW-03198-575,13-Mar-2021,61513-27752-FA,C-D-0.5,Apple Magic Keyboard,Keyboard,2,Mahala Ludwell,mludwell3e@blogger.com,United States,Keyboard,120.00 €,90.00 €,,
QJB-90477-635,12-Jun-2022,89714-19856-WX,G-D-1,ASUS ROG Ally,Gaming Console,3,Doll Beauchamp,dbeauchamp3f@usda.gov,United States,Gaming Console,700.00 €,720.00 €,,
MWP-46239-785,27-Apr-2019,87979-56781-YV,F-L-1,Seagate Expansion 2TB,External Drive,3,Stanford Rodliff,srodliff3g@ted.com,United States,External Drive,75.00 €,90.00 €,,
QDV-03406-248,23-May-2019,74126-88836-KA,A-L-2.5,Samsung Galaxy S24,Smartphone,2,Stevana Woodham,swoodham3h@businesswire.com,Ireland,Smartphone,909.00 €,578.00 €,,
GPH-40635-105,14-Jul-2020,37397-05992-VO,E-M-2.5,Samsung QN90D Neo QLED,TV,2,Hewet Synnot,hsynnot3i@about.com,United States,TV,"1,400.00 €",960.00 €,,
JOM-80930-071,10-Nov-2021,54904-18397-UD,B-M-2.5,Fitbit Charge 7,Wearable,2,Raleigh Lepere,rlepere3j@shop-pro.jp,Ireland,Wearable,150.00 €,100.00 €,,
OIL-26493-755,31-Aug-2021,19017-95853-EK,L-D-1,Bose QuietComfort Ultra,Headphones,1,Timofei Woofinden,twoofinden3k@businesswire.com,United States,Headphones,449.00 €,149.00 €,,
CYV-13426-645,06-Jul-2019,88593-59934-VU,R-D-2.5,Samsung Odyssey G9,Monitor,2,Evelina Dacca,edacca3l@google.pl,United States,Monitor,"1,299.00 €",898.00 €,,
WRP-39846-614,04-Mar-2022,47493-68564-YM,H-D-1,Elgato Stream Deck XL,Gaming Accessory,3,Bidget Tremellier,,Ireland,Gaming Accessory,220.00 €,225.00 €,,
VDZ-76673-968,31-Dec-2020,82246-82543-DW,A-D-0.5,Realme 12 Pro,Smartphone,3,Bobinette Hindsberg,bhindsberg3n@blogs.com,United States,Smartphone,350.00 €,360.00 €,,
VTV-03546-175,31-Jul-2020,03384-62101-IY,F-M-0.5,SanDisk Extreme Pro SSD,External Drive,1,Osbert Robins,orobins3o@salon.com,United States,External Drive,110.00 €,45.00 €,,
GHR-72274-715,24-May-2021,86881-41559-OR,E-L-0.2,Beats Studio Pro,Headphones,2,Othello Syseland,osyseland3p@independent.co.uk,United States,Headphones,350.00 €,240.00 €,,
ZGK-97262-313,16-Jul-2022,02536-18494-AQ,G-L-1,Insta360 X3,Action Camera,3,Ewell Hanby,,United States,Action Camera,430.00 €,450.00 €,,
ZFS-30776-804,05-Feb-2021,58638-01029-CB,C-M-1,SteelSeries Aerox 9 Wireless,Mouse,1,Blancha McAmish,bmcamish2e@tripadvisor.com,United States,Mouse,180.00 €,60.00 €,,
QUU-91729-492,29-Jul-2021,90312-11148-LA,B-L-1,Skyworth Q70 4K,TV,3,Lowell Keenleyside,lkeenleyside3s@topsy.com,United States,TV,350.00 €,360.00 €,,
PVI-72795-960,17-Mar-2022,68239-74809-TF,L-L-0.2,Dell UltraSharp U2723QE,Monitor,1,Elonore Joliffe,,Ireland,Monitor,679.00 €,229.00 €,,
PPP-78935-365,11-Feb-2021,91074-60023-IP,R-L-0.5,Dell XPS 13 Plus,Laptop,3,Abraham Coleman,,United States,Laptop,"1,599.00 €","1,197.00 €",,
JUO-34131-517,13-Feb-2019,07972-83748-JI,A-M-0.5,Google Pixel 8,Smartphone,3,Rivy Farington,,United States,Smartphone,759.00 €,777.00 €,,
